"ID","Entry","Line","Acc","Race","Stock","Geo.class","Elevation.class","Group","Lat","Lon","Elevation","Block","ABS_X","ABS_Y","P_code","P_level","Seed_wt_12k","Mites","Stem","Height","Leaf.Area","Spad","Leaf_FW","Root_FW"
"MZ65121",116,"SA_7.Low","BOLI1060","","CIMMYTMA-017281","S","L","S.L",-14.389555,-65.195133,149,1,85,791,"P1",1,3.57,1,0.4,9,197.2,22.4,5.8,7.2
"MZ65122",72,"Mex_9.High","AGUC67","CONNOR","CIMMYTMA-027102","M","H","M.H",21.921424,-102.13202,2042,1,95,791,"P1",1,3.37,1,0.5,22,181.1,29.1,14.55,17.29
"MZ65123",134,"AN_8","MICH316","CELAYA","CIMMYTMA-005578","A","H","A",19.33333333,-101.4666667,2233,1,104,791,"P1",1,3.38,0,0.4,20.5,233,29.3,9.92,10.47
"MZ65124",124,"AN_22","MEXI66","CHALQU","CIMMYTMA-001395","A","H","A",19.412596,-100.121224,2568,1,114,791,"P1",1,3.84,NA,NA,NA,NA,NA,NA,NA
"MZ65125",80,"SA_13.Low","PERU611","","CIMMYTMA-008367","S","L","S.L",-12.130747,-76.950627,305,1,123,791,"P1",1,3.96,0,0.5,14.5,320.1,32,8.2,12.8
"MZ65126",23,"C_4","","","Mo17","C","N","C",NA,NA,NA,1,133,791,"P1",1,3.35,0,0.5,12,192.2,23.3,8.18,7.33
"MZ65127",2,"C_1","","","B73","C","N","C",NA,NA,NA,1,143,791,"P1",1,2.37,0,0.3,10,155.4,26.8,4,2.9
"MZ65128",143,"AN_18","MICH336","TABLON","CIMMYTMA-008072","A","L","A",19.376847,-102.486984,1319,1,152,791,"P1",1,5.22,1,0.5,13.5,283.7,21.9,8.22,14.48
"MZ65129",77,"SA_11.Low","BOZM0708","CUBAAM","CIMMYTMA-014998","S","L","S.L",-16.777628,-60.657169,300,1,162,791,"P1",1,4.61,1,0.5,15.5,325.4,23.3,10.95,12.59
"MZ65130",8,"C_2","","","PT","C","N","C",NA,NA,NA,1,171,791,"P1",1,2.1,0,0.4,20,180.3,24.9,7.8,5.7
"MZ65131",90,"SA_20.Low","LOR.16","","CIMMYTMA-026029","S","L","S.L",-7.221746,-75.298185,137,1,181,791,"P1",1,4.59,0,0.6,11,386.1,32.1,12.23,19.03
"MZ65132",52,"Mex_24.Low","NAYA312","","CIMMYTMA-025289","M","L","M.L",20.8,-104.4,800,1,190,791,"P1",1,5.06,1,0.5,13,254.7,21.6,12.04,18.04
"MZ65133",66,"Mex_6.High","OAXA724","BOLITA","CIMMYTMA-020218","M","H","M.H",16.9,-96.26666667,2164,1,85,800,"P1",1,4.18,0,0.5,8,231,28.8,6.7,10.2
"MZ65134",138,"AN_10","MICH374","MUSHIT","CIMMYTMA-005616","A","H","A",19.51666667,-101.7333333,2188,1,95,800,"P1",1,3.89,1,0.6,22.5,254.1,21.6,10.4,12.1
"MZ65135",82,"SA_14.High","PERU923","","CIMMYTMA-018202","S","H","S.H",-8.563063,-77.77292,3412,1,104,800,"P1",1,3.68,1,0.6,15.5,217.1,20.4,8.7,13.53
"MZ65136",63,"Mex_5.High","SNLP176","","CIMMYTMA-014017","M","H","M.H",23.13333333,-101.1166667,2043,1,114,800,"P1",1,3.83,1,0.7,17,328.9,28.5,10,10.98
